year,model,storage,processor,RAM,b_camera,f_camera,screen,siri,cellular,Face_unlock,price in usd
2007,iphone 1,4,a1,0.13,1,0,3.5,0,2g,0,499
2007,iphone 1,8,a1,0.13,1,0,3.5,0,2g,0,599
2008,iphone 3g,8,a1,0.13,1,0,3.5,0,3g,0,599
2008,iphone 3g,16,a1,0.13,1,0,3.5,0,3g,0,699
2009,iphone 3gs,16,a1,0.25,1,0,3.5,0,3g,0,599
2009,iphone 3gs,32,a1,0.25,1,0,3.5,0,3g,0,699
2010,iphone 4,16,a4,0.5,1,1,3.5,0,3g,0,599
2010,iphone 4,32,a4,0.5,1,1,3.5,0,3g,0,699
2011,iphone 4s,16,a4,0.5,1,1,3.5,1,4g,0,649
2011,iphone 4s,32,a4,0.5,1,1,3.5,1,4g,0,749
2011,iphone 4s,64,a4,0.5,1,1,3.5,1,4g,0,849
2012,iphone 5,16,a7,1,1,1,4,1,4g,0,649
2012,iphone 5,32,a7,1,1,1,4,1,4g,0,749
2012,iphone 5,64,a7,1,1,1,4,1,4g,0,849
2013,iphone 5c,16,a7,1,1,1,4,1,4g,0,549
2013,iphone 5c,32,a7,1,1,1,4,1,4g,0,649
2013,iphone 5s,16,a7,1,1,1,4,1,4g,0,649
2013,iphone 5s,32,a7,1,1,1,4,1,4g,0,749
2013,iphone 5s,64,a7,1,1,1,4,1,4g,0,849
2014,iphone 6,16,a8,1,1,1,4.7,1,4g,0,649
2014,iphone 6,64,a8,1,1,1,4.7,1,4g,0,749
2014,iphone 6,128,a8,1,1,1,4.7,1,4g,0,849
2014,iphone 6 plus,16,a8,1,1,1,5.5,1,4g,0,749
2015,iphone 6 plus,64,a8,1,1,1,5.5,1,4g,0,849
2015,iphone 6 plus,128,a8,1,1,1,5.5,1,4g,0,949
2015,iphone 6s,16,a9,2,1,1,4.7,1,4g,0,649
2015,iphone 6s,64,a9,2,1,1,4.7,1,4g,0,749
2015,iphone 6s,128,a9,2,1,1,4.7,1,4g,0,849
2015,iphone 6s plus,16,a9,2,1,1,5.5,1,4g,0,749
2015,iphone 6s plus,64,a9,2,1,1,5.5,1,4g,0,849
2015,iphone 6s plus,128,a9,2,1,1,5.5,1,4g,0,949
2016,iphone se,32,a9,2,1,1,4,1,4g,0,399
2016,iphone se,128,a9,2,1,1,4,1,4g,0,499
2016,iphone 7,32,a10,2,1,1,4.7,1,4g,0,649
2016,iphone 7,128,a10,2,1,1,4.7,1,4g,0,749
2016,iphone 7,256,a10,2,1,1,4.7,1,4g,0,849
2016,iphone7 plus,32,a10,3,2,1,5.5,1,4g,0,749
2016,iphone7 plus,128,a10,3,2,1,5.5,1,4g,0,849
2016,iphone7 plus,256,a10,3,2,1,5.5,1,4g,0,949
2017,iphone 8,64,a11,2,1,1,4.7,1,4g,1,699
2017,iphone 8,128,a11,2,1,1,4.7,1,4g,1,849
2017,iphone 8 plus,64,a11,3,2,1,5.5,1,4g,1,799
2017,iphone 8 plus,128,a11,3,2,1,5.5,1,4g,1,949
2017,iphone  10,64,a11,3,2,1,5.8,1,4g,1,999
2017,iphone  10,256,a11,3,2,1,5.8,1,4g,1,1149
2018,iphone 10s,64,a12,4,2,1,5.8,1,4g,1,999
2018,iphone 10s,256,a12,4,2,1,5.8,1,4g,1,1149
2018,iphone 10s,512,a12,4,2,1,5.8,1,4g,1,1349
2018,iphone 10s max,64,a12,4,2,1,6.5,1,4g,1,1099
2018,iphone 10s max,256,a12,4,2,1,6.5,1,4g,1,1249
2018,iphone 10s max,512,a12,4,2,1,6.5,1,4g,1,1449
2018,iphone 10r,64,a12,3,1,1,6.1,1,4g,1,799
2018,iphone 10r,128,a12,3,1,1,6.1,1,4g,1,899
2019,iphone 11,64,a13,4,2,1,6.1,1,4g,1,699
2019,iphone 11,128,a13,4,2,1,6.1,1,4g,1,749
2019,iphone 11,256,a13,4,2,1,6.1,1,4g,1,849
2019,iphone 11 pro,64,a13,4,3,1,5.8,1,4g,1,999
2019,iphone 11 pro,256,a13,4,3,1,5.8,1,4g,1,1149
2019,iphone 11 pro,512,a13,4,3,1,5.8,1,4g,1,1349
2019,iphone 11 pro max,64,a13,4,3,1,6.5,1,4g,1,1099
2019,iphone 11 pro max,256,a13,4,3,1,6.5,1,4g,1,1249
2019,iphone 11 pro max,512,a13,4,3,1,6.5,1,4g,1,1449
2020,iphone se,64,a13,3,1,1,4.7,1,4g,1,399
2020,iphone se,128,a13,3,1,1,4.7,1,4g,1,449
2020,iphone se,256,a13,3,1,1,4.7,1,4g,1,549
2020,iphone 12,64,a14,4,2,1,6.1,1,5g,1,799
2020,iphone 12,128,a14,4,2,1,6.1,1,5g,1,849
2020,iphone 12,256,a14,4,2,1,6.1,1,5g,1,949
2020,iphone 12 mini,64,a14,4,2,1,5.4,1,5g,1,699
2020,iphone 12 mini,128,a14,4,2,1,5.4,1,5g,1,749
2020,iphone 12 mini,256,a14,4,2,1,5.4,1,5g,1,849
2020,iphone 12 pro,128,a14,6,3,1,6.1,1,5g,1,999
2020,iphone 12 pro,256,a14,6,3,1,6.1,1,5g,1,1099
2020,iphone 12 pro,512,a14,6,3,1,6.1,1,5g,1,1299
2020,iphone 12 pro max,128,a14,6,3,1,6.7,1,5g,1,1099
2020,iphone 12 pro max,256,a14,6,3,1,6.7,1,5g,1,1199
2020,iphone 12 pro max,512,a14,6,3,1,6.7,1,5g,1,1399
